Date,Latitude,Longitude,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Network Band,GPS Speed (km/h),deg,min
Sat May 29 2021 00:00:17 UTC,44.99785167,-93.24131833,271,-13,-89,1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:01:17 UTC,44.99785167,-93.24131833,271,-18,-88,1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:02:18 UTC,44.99785167,-93.24131833,271,-12,-89,1.1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:03:18 UTC,44.99785167,-93.24131833,271,-12,-89,1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:04:18 UTC,44.99785167,-93.24131833,271,-12,-89,1.1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:05:18 UTC,44.99785167,-93.24131833,271,-13,-88,1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:06:18 UTC,44.99784833,-93.24131833,271,-10,-89,0.9,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:07:17 UTC,44.99784833,-93.24131833,271,-12,-89,1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:08:17 UTC,44.99784833,-93.24131833,271,-14,-89,0.9,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:10:17 UTC,44.997845,-93.24131833,271,-10,-88,1.1,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:11:17 UTC,44.997845,-93.24131833,271,-11,-88,1.3,LTE BAND 2,0,93,0.241318333
Sat May 29 2021 00:12:17 UTC,44.997845,-93.241325,271,-12,-88,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:13:17 UTC,44.99784167,-93.241325,271,-13,-89,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:14:17 UTC,44.99784167,-93.241325,271,-14,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:15:17 UTC,44.99784167,-93.241325,271,-13,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:16:16 UTC,44.99784167,-93.241325,271,-12,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:17:17 UTC,44.99784167,-93.241325,272,-11,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:18:17 UTC,44.99784167,-93.241325,272,-9,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:19:17 UTC,44.99784167,-93.241325,272,-11,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:20:17 UTC,44.997845,-93.241325,272,-14,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:21:17 UTC,44.997845,-93.241325,272,-10,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:22:16 UTC,44.997845,-93.241325,272,-12,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:23:17 UTC,44.997845,-93.241325,272,-12,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:24:17 UTC,44.997845,-93.241325,272,-11,-88,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:25:16 UTC,44.997845,-93.241325,271,-10,-89,1.3,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:26:16 UTC,44.997845,-93.241325,271,-14,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:27:16 UTC,44.997845,-93.241325,271,-12,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:28:17 UTC,44.997845,-93.241325,271,-10,-89,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:29:17 UTC,44.997845,-93.241325,271,-15,-88,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:30:17 UTC,44.997845,-93.241325,271,-11,-88,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:31:17 UTC,44.997845,-93.241325,271,-10,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:32:16 UTC,44.997845,-93.241325,271,-11,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:33:16 UTC,44.997845,-93.241325,271,-12,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:34:17 UTC,44.997845,-93.241325,271,-11,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:35:17 UTC,44.997845,-93.241325,271,-11,-88,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:36:17 UTC,44.997845,-93.241325,271,-11,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:37:17 UTC,44.997845,-93.241325,271,-11,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:38:17 UTC,44.997845,-93.241325,271,-10,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:39:17 UTC,44.997845,-93.241325,271,-9,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:40:17 UTC,44.997845,-93.241325,271,-10,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:41:16 UTC,44.997845,-93.241325,271,-14,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:42:16 UTC,44.997845,-93.241325,271,-11,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:43:17 UTC,44.997845,-93.241325,271,-12,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:44:17 UTC,44.997845,-93.241325,271,-10,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:45:17 UTC,44.997845,-93.241325,271,-10,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:46:16 UTC,44.99784167,-93.241325,272,-12,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:47:16 UTC,44.99784167,-93.241325,272,-9,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:48:16 UTC,44.99784167,-93.241325,272,-11,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:49:17 UTC,44.99784167,-93.241325,272,-14,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:50:17 UTC,44.99783667,-93.241325,271,-14,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:51:17 UTC,44.99783667,-93.241325,271,-11,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:52:16 UTC,44.99783667,-93.241325,271,-13,-89,0.9,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:53:17 UTC,44.99783667,-93.241325,271,-12,-89,1.1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:54:17 UTC,44.99783667,-93.241325,271,-12,-89,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:55:17 UTC,44.99783667,-93.241325,271,-11,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:56:17 UTC,44.99783667,-93.241325,271,-13,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:57:17 UTC,44.99783667,-93.241325,271,-13,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:58:17 UTC,44.99783333,-93.241325,271,-12,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 00:59:16 UTC,44.99783333,-93.241325,271,-12,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 01:00:17 UTC,44.99783333,-93.241325,271,-10,-89,1,LTE BAND 2,0,93,0.241325
Sat May 29 2021 01:01:16 UTC,44.99783333,-93.24133333,271,-15,-89,1.1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:02:17 UTC,44.99783333,-93.24133333,271,-10,-89,1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:03:17 UTC,44.99783333,-93.241325,271,-11,-89,1.2,LTE BAND 2,0,93,0.241325
Sat May 29 2021 01:04:17 UTC,44.99783333,-93.24133333,271,-13,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:05:17 UTC,44.99783333,-93.24133333,271,-13,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:06:17 UTC,44.99783333,-93.24133333,271,-13,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:07:16 UTC,44.99783333,-93.24133333,270,-13,-89,1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:08:17 UTC,44.99783,-93.24133333,270,-13,-88,1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:10:12 UTC,44.99783,-93.24133333,270,-11,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:11:12 UTC,44.99783,-93.24133333,271,-13,-89,1.1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:12:12 UTC,44.99783,-93.24133333,271,-13,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:13:12 UTC,44.99783,-93.24133333,271,-14,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:14:11 UTC,44.99783,-93.24133333,271,-12,-89,1.3,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:15:12 UTC,44.99783,-93.24133333,271,-12,-89,1.1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:16:11 UTC,44.99783333,-93.24133333,271,-13,-89,1.1,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:17:12 UTC,44.99783333,-93.24133333,271,-12,-96,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:18:12 UTC,44.99783333,-93.24133333,271,-10,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:19:12 UTC,44.99783333,-93.24133333,271,-13,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:20:12 UTC,44.99783333,-93.24133333,271,-14,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:21:12 UTC,44.99783333,-93.24133333,271,-14,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:22:11 UTC,44.99783333,-93.24133333,271,-11,-89,1.2,LTE BAND 2,0,93,0.241333333
Sat May 29 2021 01:23:12 UTC,44.99783333,-93.24133333,271,-12,-89,1.2,LTE BAND 2,0,93,0.241333333
